ref_id,work_id,ref_index,ref_title,ref_authors,ref_year,ref_doi,ref_type,ref_script,ref_lang_cld3,ref_quality
159_a8,159,8,"Of Two Minds: Hypertext, Pedagogy and Poetics",Joyce,1995,NA,book,Latin,en,anystyle
159_a9,159,9,Hypertext 2.0: The Convergence of Contemporary Critical Theory and Technology,Landow,1997,NA,book,Latin,en,anystyle
159_a10,159,10,Real World Research: A Resource for Social Scientists and Practitioner-researchers,Robson,1993,NA,book,Latin,en,anystyle
160_a1,160,1,"Beyond 2D Image: Effective 3D imaging for library materials""",S.; Seales,2000,NA,paper-conference,Latin,en,anystyle
160_a2,160,2,The Digital Atheneum: New Technologies for Restoring and Preserving Old Documents,Seales; Griffioen; Kevin Kiernan; Cantara,2000-02,NA,article-journal,Latin,en,anystyle
160_a3,160,3,"Digital Image Processing and the Beowulf Manuscript.""",Kiernan,1991,NA,article-journal,Latin,en,anystyle
160_a4,160,4,The Electronic Beowulf and Digital Restoration,Prescott,1997,NA,article-journal,Latin,en,anystyle
160_a5,160,5,"An Integrated Reading and Editing Environment for Scholarly Research on Literary Works and Their Handwritten Sources""",Lecolinet,1998,NA,paper-conference,Latin,en,anystyle
160_a6,160,6,"Image Processing, Analysis, and Machine Vision""",Sonka; Hlavac; Boyle,1998,NA,book,Latin,en,anystyle
160_a7,160,7,"Deformation Constraints in a Mass-Spring Model to Describe Rigid Cloth Behavior""",Provot,1995,NA,paper-conference,Latin,es,anystyle
160_a8,160,8,"Accurate 3D measurements using a Structured Light System""",J.; M,1998-02,NA,article-journal,Latin,en,anystyle
168_a1,168,1,"Czech National Corpus: A Case in Many Contexts, International",Čermák,NA,NA,NA,Latin,NA,anystyle
168_a2,168,2,The proliferation of the English -ing in the Czech Vocabulary,Blatná,NA,NA,NA,Latin,en,anystyle
168_a3,168,3,Table 1,NA,NA,NA,NA,Latin,en,anystyle
168_a4,168,4,1st group to know to go to think to sit to see to stand to go to stay to say to stand to feel intellectual activity body position and motion,NA,NA,NA,NA,Latin,en,anystyle
168_a5,168,5,group to know to know to see to get to consider to wait to say to need to try to go to think intellectual activity intellectual activity and obtaining sth,NA,NA,NA,NA,Latin,en,anystyle
168_a6,168,6,group to think to say to ask to get to get to know to know to try to say to feel to remember to prepare to answer intellectual activity,NA,NA,NA,NA,Latin,en,anystyle
168_a7,168,7,group to think to get to believe to love to say to see to try to hope to attempt to forget to suspect intellectual activity and feelings esp.feelings,NA,NA,NA,NA,Latin,en,anystyle
168_a8,168,8,group to say to go to see to get to know to play to go to start to ask to know to hear to get,NA,NA,NA,NA,Latin,en,anystyle
187_a1,187,1,Text Encoding and the New English Department,Caton,2000,NA,NA,Latin,en,anystyle
187_a2,187,2,Politics of the Electronic Text,NA,NA,NA,book,Latin,en,anystyle
187_a3,187,3,*Language and Materialism,Coward; Ellis,1977,NA,NA,Latin,en,anystyle
187_a4,187,4,Developments in Semiology and the Theory of the Subject.*,NA,NA,NA,NA,Latin,en,anystyle
187_a5,187,5,"*Journal of Computing in Higher Education,*",Text,NA,NA,NA,Latin,en,anystyle
187_a6,187,6,Out of Praxis: Three (Meta)Theories of Textuality,Renear,1997,NA,chapter,Latin,en,anystyle
189_a1,189,1,"Encoding verse texts""",Chisholm; Robey,1995,NA,NA,Latin,NA,anystyle
189_a2,189,2,Dansk verskunst,Fafner,1989,NA,article-journal,Latin,no,anystyle
189_a3,189,3,Digt og form: Klassisk og moderne verslære,NA,1989,NA,NA,Latin,da,anystyle
189_a4,189,4,Dansk vershistorie 1: Fra kunstpoesi til lyrisk frigørelse,NA,1994,NA,NA,Latin,da,anystyle
189_a5,189,5,Dansk vershistorie 2: Fra romantik til modernisme,NA,2000,NA,NA,Latin,no,anystyle
189_a6,189,6,Guidelines for electronic text encoding and interchange (TEI P3 Guidelines,C.M.; Burnard,16/5 1994,NA,NA,Latin,en,anystyle
190_a1,190,1,'Rhythm and Metre in the Divine Comedy',Robey,NA,NA,chapter,Latin,en,anystyle
190_a2,190,2,'Counting Syllables in the Divine Comedy: A,Robey,NA,NA,NA,Latin,en,anystyle
190_a3,190,3,Computer Analysis',NA,1999,NA,article-journal,Latin,NA,anystyle
190_a4,190,4,Sound and Structure in the 'Divine Comedy',Robey,NA,NA,NA,Latin,en,anystyle
190_a5,190,5,Narrare in ottave. Metrica e stile dell''Innamorato',Praloran; Tizi,1988,NA,book,Latin,it,anystyle
190_a6,190,6,Ritmo e modelli ritmici,Bertinetto,1973,NA,NA,Latin,it,anystyle
191_a1,191,1,Accent and Rhythm. Prosodic Features of Latin and Greek,W.S,1973,NA,book,Latin,en,anystyle
191_a2,191,2,Some Time Series in the Phonetics of Biblical Hebrew,M.; B,1979,NA,article-journal,Latin,en,anystyle
191_a3,191,3,Time series analysis: forecasting and control,George; Gwilym,1976,NA,book,Latin,en,anystyle
191_a4,191,4,The Prosody of Greek Speech,M.; D,1994,NA,book,Latin,fy,anystyle
191_a5,191,5,Prosodic approaches to twentieth-century verse,Chrisholm,1981 1981/2,NA,article-journal,Latin,NA,anystyle
191_a6,191,6,Rezitation griechischer Chorlyrik. Die Parodoi aus Aischylos' Agamemnon und Euripides' Bakchen als Tonbeispiel auf CD mit Text- und Begleiheft,Glau,1998,NA,book,Latin,de,anystyle
191_a7,191,7,Verskolometrie und hexametrische Verskunst römischer Bukoliker,S,NA,NA,book,Latin,nl,anystyle
191_a8,191,8,Podstawy jezykowe metryki starogerma (IQ (Bskiej [The Phonemic Fundamentals of the Old Germanic Metrics,Kuryłowicz,1972,NA,article-journal,Latin,pl,anystyle
191_a9,191,9,Metrik und Sprachgeschichte,NA,NA,NA,book,Latin,de,anystyle
191_a10,191,10,Studia jezykoznawcze. Wyb'r prac opublikowanych w jezyku polskim [Linguistic studies. Selected papers published in Polish,NA,NA,NA,book,Latin,pl,anystyle
191_a11,191,11,Dimensio syllabarum. Studien zur lateinischen Prosodie- und Verslehre von der Späntike bis zur frühen Renaissance. Mit einem ausführlichen Quellenverzeichnis bis zum Jahr 1600,Leonhardt,1989,NA,book,Latin,de,anystyle
191_a12,191,12,Séries temporelles en linguistique. Avec application à l'attribution de textes: Romain Gary et Émile Ajar,Adam,1998,NA,book,Latin,fr,anystyle
191_a13,191,13,Griechische Verslehre,C.M.J,1993,NA,book,Latin,NA,anystyle
191_a14,191,14,Griechische Metrik,Snell,1982,NA,book,Latin,nl,anystyle
191_a15,191,15,Introduction to Greek Metre,L,1987,NA,book,Latin,en,anystyle
191_a16,191,16,Entropizer 1.1: un outil informatique pour analyse séquentielle,Xantos,2000,NA,chapter,Latin,fr,anystyle
191_a17,191,17,Formirovanie drevnegre��eskogo geksametra [Formation of the old-Greek hexameter,I,1994,NA,book,Latin,NA,anystyle
193_a1,193,1,Newsgroup Exploration with WEBSOM method and browsing,Honkela; Kaski; Lagus; Kohonen,1996,NA,report,Latin,en,anystyle
193_a2,193,2,Exploration of very large databases by self-organizing maps,Kohonen,1997,NA,paper-conference,Latin,en,anystyle
193_a3,193,3,Self-Organizing Maps,Kohonen,1997,NA,book,Latin,NA,anystyle
193_a4,193,4,Encoding Initiative,Plotkin; Sperberg-McQueen,1999,NA,NA,Latin,NA,anystyle
193_a5,193,5,Data Mining Tools See5 and C5.0,Quinlan,2000,NA,NA,Latin,en,anystyle
193_a6,193,6,C4.5: Programs For Machine Learning,Quinlan,1993,NA,book,Latin,en,anystyle
193_a7,193,7,Discovering rules by induction from large collection of examples,Quinlan,1979,NA,chapter,Latin,en,anystyle
194_a1,194,1,"Writing Space: The Computer, Hypertext, and the History of Writing",Bolter,1991,NA,book,Latin,en,anystyle
194_a2,194,2,Poetry and computers: Experimenting with the communal text,Catano,1979,NA,article-journal,Latin,en,anystyle
194_a3,194,3,XML linking,DeRose,1999,NA,article-journal,Latin,uz,anystyle
194_a4,194,4,The Printing Revolution in Early Modern Europe,Eisenstein,1983,NA,book,Latin,en,anystyle
194_a5,194,5,"Developing services for open eprint archives: Globalisation, integration and the impact of links",Hitchcock; Carr; Jiao; Bergmark; Hall; Lagoze; Harnad,2000,NA,paper-conference,Latin,en,anystyle
194_a6,194,6,"Practical Digital Libraries: Books, Bytes, and Bucks",Lesk,1997,NA,book,Latin,NA,anystyle
194_a7,194,7,Tradeoffs in displaying peripheral information,Maglio; Campbell,2000,NA,paper-conference,Latin,NA,anystyle
194_a8,194,8,The Perseus Project: A digital library for the humanities,Smith; Rydberg-Cox; Crane,2000,NA,article-journal,Latin,en,anystyle
194_a9,194,9,The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,NA,1996,NA,book,Latin,NA,anystyle
194_a10,194,10,Concepts for improved visualization of Web link attributes,Weinreich; Lamersdorf,NA,NA,paper-conference,Latin,en,anystyle
194_a11,194,11,Can we make information extraction more adaptive?,Wilks; Catizone,1999,NA,chapter,Latin,en,anystyle
312_a1,312,1,SGML and the Orlando Project: Descriptive Markup for an,Grundy; Hockey,1998,NA,NA,Latin,en,anystyle
312_a2,312,2,Electronic History of Women's Writing,NA,NA,NA,article-journal,Latin,NA,anystyle
312_a3,312,3,Intertextual Encoding in the Writing of,Gomboc; Renear; Wood,2001,NA,NA,Latin,en,anystyle
312_a4,312,4,Women's Literary History,NA,2001,NA,article-journal,Latin,sn,anystyle
312_a5,312,5,Session of three Orlando Project papers: “The Hard and the,Brown; Grundy,2001,NA,NA,Latin,en,anystyle
312_a6,312,6,Soft: Encoding Literary History,NA,NA,NA,chapter,Latin,NA,anystyle
312_a7,312,7,Formations,NA,NA,NA,paper-conference,Latin,en,anystyle
312_a8,312,8,Can a Team Tag Consistently? Experiences on the Orlando Project,Carter; Harvey; Wood,2000,NA,article-journal,Latin,en,anystyle
312_a9,312,9,Overlapping Hierarchies/Concurrent Markup,Durusau; O'Donnell,NA,NA,NA,Latin,en,anystyle
312_a10,312,10,Beyond the 'descriptive vs. procedural' distinction,Piez,2001,NA,article-journal,Latin,NA,anystyle
312_a11,312,11,Publishing Originally Digital Scholarship at the University of Virginia,Unsworth,2001,NA,article-journal,Latin,NA,anystyle
313_a1,313,1,Levels of processing: A framework for memory research“,Craik; Lockhart,1972,NA,article-journal,Latin,en,anystyle
313_a2,313,2,A provisional grammar of personification for the Met”,McCarty,1998,NA,chapter,Latin,en,anystyle
313_a3,313,3,Thinking with markup: the case of personification”,McCarty,1999,NA,NA,Latin,en,anystyle
313_a4,313,4,An Analytical Onomasticon to the Metamorphoses of Ovid,NA,2002,NA,NA,Latin,en,anystyle
313_a5,313,5,The Poetics of Personification,Paxson,1994,NA,article-journal,Latin,en,anystyle
313_a6,313,6,Beyond the ‘descriptive vs,Piez,2001,NA,chapter,Latin,fr,anystyle
313_a7,313,7,Ovid's Poetische Menschenwelt: Die Metamorphosen als Metapher und Symphonie,Schmidt,1991,NA,NA,Latin,de,anystyle
313_a8,313,8,Semantic encoding,NA,NA,NA,chapter,Latin,NA,anystyle
313_a9,313,9,Models for Grammars”,Thorne,1972,NA,chapter,Latin,NA,anystyle
313_a10,313,10,Cross-Disciplinary Essays on Models in Scholarly Thought,NA,NA,NA,book,Latin,en,anystyle
313_a11,313,11,Narrative Dynamics in Ovid's Metamorphoses,Wheeler,2000 Bd. 20,NA,article-journal,Latin,NA,anystyle
313_a12,313,12,Tübingen: Gunter Narr Verlag,NA,NA,NA,NA,Latin,NA,anystyle
314_a1,314,1,The Breaking of the Vessels,Bloom,1982,NA,chapter,Latin,en,anystyle
314_a2,314,2,Frank Lentricchia,California,NA,NA,book,Latin,NA,anystyle
314_a3,314,3,Markup's Current Imbalance,Caton,2001,NA,article-journal,Latin,NA,anystyle
314_a4,314,4,The Application of SGML/TEI to the Processing of Complex Multilingual Historical,Cournane,1997,NA,NA,Latin,en,anystyle
314_a5,314,5,Conceptual Modelling and Markup Languages”,Cover,NA,NA,book,Latin,en,anystyle
314_a6,314,6,A Gentle Introduction to SGML”,NA,1997,NA,chapter,Latin,en,anystyle
314_a7,314,7,Electronic Text Encoding and Interchange,NA,1994 1997,NA,book,Latin,NA,anystyle
314_a8,314,8,The Figure of Echo,Hollander,1981,NA,book,Latin,NA,anystyle
314_a9,314,9,Suggestive Markup: Explicit Relationships in Descriptive and Prescriptive,Quin,1996-11,NA,NA,Latin,it,anystyle
314_a10,314,10,The Descriptive/Procedural Distinction is Flawed”,Renear,2000,NA,chapter,Latin,NA,anystyle
314_a11,314,11,The SGML Handbook,Goldfarb,1990,NA,NA,Latin,NA,anystyle
314_a12,314,12,A Generalized Approach to Document Markup,Goldfarb,1981-06,NA,chapter,Latin,en,anystyle
314_a13,314,13,Meaning and Interpretation of Markup”,Sperberg-McQueen; Huitfeldt; Renear,2000,NA,NA,Latin,en,anystyle
314_a14,314,14,Markup Languages: Theory &,NA,NA,NA,article-journal,Latin,NA,anystyle
317_a1,317,1,Brooks,P,1995,NA,chapter,Latin,NA,anystyle
317_a2,317,2,3D Acquisition and Restoration of Medieval,Brown; Seales; Kiernan; Griffioen,NA,NA,NA,Latin,en,anystyle
317_a3,317,3,Manuscripts,NA,2001-05,NA,article-journal,Latin,ca,anystyle
317_a4,317,4,Design Patterns: Elements of Reusable,Gamma; Helm; Johnson; Vlissides,NA,NA,NA,Latin,NA,anystyle
317_a5,317,5,The Pragmatic Programmer,Hunt; Thomas,1999,NA,book,Latin,NA,anystyle
318_a1,318,1,XML Schema Part 2: Datatypes,NA,2 May,NA,article-journal,Latin,de,anystyle
318_a2,318,2,Sperberg-McQueen,Bray; Paoli; M,NA,NA,chapter,Latin,NA,anystyle
318_a3,318,3,W3C Recommendation,NA,2000-10-06,NA,NA,Latin,NA,anystyle
318_a4,318,4,"The Digital Atheneum: New Approaches for Preserving, Restoring, and Analyzing Damaged Manuscripts",Brown; Seales,NA,NA,paper-conference,Latin,en,anystyle
318_a5,318,5,Digital Libraries,NA,2001,NA,book,Latin,id,anystyle
318_a6,318,6,3D Acquisition and Restoration of,Brown; Seales; Kiernan; Griffioen,NA,NA,NA,Latin,en,anystyle
318_a7,318,7,Medieval Manuscripts,NA,2001-05,NA,article-journal,Latin,NA,anystyle
318_a8,318,8,The Notions of Consistency and Predicate,Eswaan; Gray; Lorie; Traiger,NA,NA,NA,Latin,en,anystyle
318_a9,318,9,Locks in a Database System,NA,1976-11,NA,article-journal,Latin,en,anystyle
318_a10,318,10,Glossing Damaged Manuscripts: an Example from AElfric's Lives of Saints,Hayes,NA,NA,article-journal,Latin,en,anystyle
318_a11,318,11,Resources for the Humanities (DRH01,NA,2001-07-10,NA,book,Latin,en,anystyle
318_a12,318,12,The Digital Atheneum,Seales; Griffioen; Kiernan; Yuan; Cantara,NA,NA,NA,Latin,NA,anystyle
318_a13,318,13,Technologies for Restoring and Preserving Old Documents,NA,February,NA,article-journal,Latin,en,anystyle
318_a14,318,14,Guided Linking: Efficiently Making Image-to-Transcript,Yuan; Seales,NA,NA,NA,Latin,en,anystyle
318_a15,318,15,Correspondence,NA,NA,NA,paper-conference,Latin,sr,anystyle
319_a1,319,1,• Oxford Bodleian Library MS Bodley 180,NA,NA,NA,NA,Latin,NA,anystyle
319_a2,319,2,The Paris Psalter and the Meters of Boethius,NA,NA,NA,book,Latin,en,anystyle
319_a3,319,3,Poetic Records 5,NA,1932,NA,book,Latin,sr,anystyle
319_a4,319,4,Old English Verse Texts from Many Sources: A,NA,NA,NA,NA,Latin,en,anystyle
319_a5,319,5,Early English Manuscripts in Facsimile 23,Collection,NA,NA,NA,Latin,sm,anystyle
319_a6,319,6,Philosophiae,NA,1899,NA,book,Latin,la,anystyle
319_a7,319,7,A Strategic Policy Framework for Creating and,Beagrie; Greenstein,NA,NA,NA,Latin,en,anystyle
319_a8,319,8,Preserving Digital Collections,NA,NA,NA,chapter,Latin,en,anystyle
319_a9,319,9,Online. <http://ahds.ac.uk/strategic.pdf>,NA,1998-07 2001-07,NA,article-journal,Latin,NA,anystyle
319_a10,319,10,Metadata for Digital Preservation: The CEDARS Project Outline Specification Online,Project,2000-03,NA,NA,Latin,en,anystyle
319_a11,319,11,Modern Language Association,Scholarly Editions,NA,NA,book,Latin,NA,anystyle
319_a12,319,12,Lat updated 18 A draft of a proposed revision of the Guidelines for both print and,NA,1997-12 2002-06,NA,NA,Latin,en,anystyle
319_a13,319,13,Last modified,NA,2001-08-24,NA,NA,Latin,it,anystyle
319_a14,319,14,Metadata Encoding and Transmission Standard: an Overview &,Federation,NA,NA,NA,Latin,en,anystyle
319_a15,319,15,Online,NA,2001-06-14,NA,NA,Latin,nl,anystyle
319_a16,319,16,Editing Old English and the Problem of Alfred's Boethius,Godden,NA,NA,chapter,Latin,en,anystyle
319_a17,319,17,Papers from the 1990 Manchester Conference,English,NA,NA,NA,Latin,en,anystyle
319_a18,319,18,From Analog to Digital: Extending the Preservation,Kenney; Conway,NA,NA,NA,Latin,en,anystyle
319_a19,319,19,Tool Kit,NA,1998,NA,article-journal,Latin,jv,anystyle
319_a20,319,20,Moving Theory into Practice: Digital Imaging for,Kenney; Rieger,NA,NA,NA,Latin,en,anystyle
319_a21,319,21,Libraries and Archives,NA,2000,NA,book,Latin,en,anystyle
319_a22,319,22,"Alfred the Great's Burnt Boethius.” The Iconic Page in Manuscript, Print, and Digital Culture",Kiernan,NA,NA,book,Latin,en,anystyle
319_a23,319,23,Creating Electronic Editions from Medieval Manuscripts,NA,NA,NA,chapter,Latin,en,anystyle
319_a24,319,24,Preservation of Medieval Manuscripts and Early Printed Books,NA,NA,NA,book,Latin,en,anystyle
319_a25,319,25,Digital Facsimiles in Editing: Some Guidelines for Editors of Image-based Scholarly,NA,NA,NA,NA,Latin,en,anystyle
319_a26,319,26,"Editions,” forthcoming in Electronic Textual Editing, a volume of essays jointly sponsored by the Modern Language Association and the TEI Consortium",NA,NA,NA,NA,Latin,en,anystyle
319_a27,319,27,Electronic Beowulf. 2 CD-ROMS,Andrew Prescott; French; Solopova; Cantara; Ellis; Yuan,NA,NA,book,Latin,en,anystyle
319_a28,319,28,Publications and Ann Arbor,NA,1999,NA,book,Latin,en,anystyle
319_a29,319,29,The Reappearances of St,Seales; Griffioen,NA,NA,chapter,Latin,en,anystyle
319_a30,319,30,x,B,NA,NA,chapter,Latin,uk,anystyle
319_a31,319,31,"Kirschenbaum, forthcoming in a special issue of Computers and the Humanities",NA,NA,NA,NA,Latin,en,anystyle
319_a32,319,32,Metadata for Long-Term Preservation,Lupovici; Masanés,NA,NA,article-journal,Latin,NA,anystyle
319_a33,319,33,Online,NA,2000-07,NA,NA,Latin,nl,anystyle
319_a34,319,34,Preservation Metadata for Digital,Preservation Metadata,NA,NA,NA,Latin,NA,anystyle
319_a35,319,35,Objects: A Review of the State of the Art Online,NA,2001-01-31,NA,NA,Latin,en,anystyle
319_a36,319,36,‘Their Present Miserable State of Cremation’: The Restoration of the,Prescott,NA,NA,NA,Latin,en,anystyle
319_a37,319,37,Sir Robert Cotton as Collector: Essays on an Early Stuart Courtier and His,Library.”,NA,NA,NA,Latin,en,anystyle
319_a38,319,38,Commission for Preservation and Access,Group,NA,NA,book,Latin,en,anystyle
319_a39,319,39,Information: Report of the Task Force on Archiving of Digital Information,NA,1996-05,NA,NA,Latin,en,anystyle
319_a40,319,40,Changing Trains at Wigan: Digital Preservation and the Future of,Ross,NA,NA,NA,Latin,en,anystyle
319_a41,319,41,Scholarship,NA,3/4 March 1998,NA,chapter,Latin,uz,anystyle
319_a42,319,42,Online,NA,NA,NA,NA,Latin,nl,anystyle
319_a43,319,43,The Digital Atheneum—Restoring,Seales; Griffioen; Kiernan,NA,NA,NA,Latin,NA,anystyle
319_a44,319,44,Damaged Manuscripts Online,NA,1999-12-15,NA,article-journal,Latin,da,anystyle
319_a45,319,45,The,Seales; Griffioen; Kevin Kiernan; Cantara,NA,NA,NA,Latin,en,anystyle
319_a46,319,46,Digital Atheneum: New Technologies for Restoring and Preserving Old Documents,NA,NA,NA,NA,Latin,en,anystyle
319_a47,319,47,Guidelines for Electronic Text Encoding and Interchange,NA,NA,NA,NA,Latin,en,anystyle
319_a48,319,48,"Chicago and Oxford: TEI P4, 2001 Tagging the Rossetti Archive: Methodologies and Praxis",DeRose; Rahtz; Stauffer,NA,NA,article-journal,Latin,en,anystyle
319_a49,319,49,Electronic Publishing 2 Online,NA,1998-12,NA,NA,Latin,zu,anystyle
319_a50,319,50,Informatique et Statistique dans les Sciences Humaines,NA,NA,NA,NA,Latin,fr,anystyle
319_a51,319,51,Reconsidering and Revising the MLA Committee on Scholarly Editions',Unsworth,NA,NA,NA,Latin,en,anystyle
319_a52,319,52,Guidelines for Scholarly Editions.” Panel on “New Directions for Digital Textuality,NA,2001,NA,NA,Latin,en,anystyle
319_a53,319,53,Conference of the Society for Textual Scholarship Online,NA,2001-04-19,NA,NA,Latin,en,anystyle
319_a54,319,54,Supporting Digital Scholarship: a Project Funded by the Andrew W,NA,NA,NA,book,Latin,en,anystyle
319_a55,319,55,Online,NA,1999-11-01,NA,NA,Latin,nl,anystyle
319_a56,319,56,Extensible Markup Language,Consortium,W3C,NA,NA,Latin,jv,anystyle
319_a57,319,57,The Extensible Stylesheet Language (XSL,Consortium,W3C,NA,NA,Latin,NA,anystyle
319_a58,319,58,Last modified 10,NA,2001-07,NA,NA,Latin,it,anystyle
323_a1,323,1,John Nerbonne with Wilbert Heeringa and Peter Kleiweg “Edit Distance and Dialect Proximity,NA,NA,NA,chapter,Latin,en,anystyle
323_a2,323,2,Practice of Sequence Comparison,NA,1999,NA,NA,Latin,en,anystyle
323_a3,323,3,Lexical Distance in LAMSAS,Nerbonne; Kleiweg,NA,NA,NA,Latin,en,anystyle
324_a1,324,1,Computer-mediated communication as a force in language change”,Baron,1984,NA,chapter,Latin,en,anystyle
324_a2,324,2,Alphabet to email: How Written English Evolved and Where it’s Heading,Baron,2000,NA,NA,Latin,en,anystyle
324_a3,324,3,Variation Across Speech and Writing,Biber,1988,NA,book,Latin,en,anystyle
324_a4,324,4,Drift and the evolution of English style: a history of three genres”,Biber; Finegan,1989,NA,article-journal,Latin,en,anystyle
324_a5,324,5,Computers and the study of literature”,Burrows,1992,NA,chapter,Latin,en,anystyle
324_a6,324,6,Language and the Internet,Crystal,2001,NA,book,Latin,en,anystyle
324_a7,324,7,A Sociolinguistic Study of Rhoticity in American Film Speech from the 1930s to the,Elliott,2000,NA,NA,Latin,en,anystyle
324_a8,324,8,Textual Parameters in Older Languages,Herring; Schosler; Rainen,2000,NA,NA,Latin,NA,anystyle
324_a9,324,9,The Devoicing of Fricatives in Standard,Velde; Hans; Hout,1996,NA,NA,Latin,en,anystyle
324_a10,324,10,A real-time study based on radio recordings”,NA,NA,NA,article-journal,Latin,en,anystyle
324_a11,324,11,"Survey of standardization in Tsuruoka City, Japan: Comparison of results from three surveys at twenty-year intervals”",Yoneda,1993,NA,paper-conference,Latin,NA,anystyle
325_a1,325,1,Quantitative Areal Analysis of Dialect Features”,Kretzschmar,1996,NA,article-journal,Latin,en,anystyle
325_a2,325,2,Spatial Analysis of Linguistic Data with GIS Functions”,Kretzschmar,1993,NA,article-journal,Latin,en,anystyle
325_a3,325,3,A Scaling Self-Organizing Map Algorithm for Textual,Roussinov; Chen,1998,NA,NA,Latin,en,anystyle
325_a4,325,4,Classification”,NA,NA,NA,article-journal,Latin,NA,anystyle
327_a1,327,1,Textual Criticism in the 21st Century,Faulhaber,1991,NA,article-journal,Latin,en,anystyle
327_a2,327,2,Working with Texts,Lancashire,NA,NA,paper-conference,Latin,en,anystyle
327_a3,327,3,Unediting and Non-Editions,Siemens,2001,NA,article-journal,Latin,en,anystyle
327_a4,327,4,"Reprint, with new introduction, of “Shakespearean Apparatus? Explicit Textual Structures and the Implicit Navigation of Accumulated Knowledge",NA,NA,NA,chapter,Latin,en,anystyle
327_a5,327,5,Textual Studies 14,NA,2002,NA,article-journal,Latin,NA,anystyle
348_a1,348,1,Book Business,Epstein,2002,NA,NA,Latin,en,anystyle
348_a2,348,2,"Text encoding and technology enter as interlopers into the complex and tense arena of scholarly publication, in which scholars are in fact conflicted about whether they want their technologies of representation to be",NA,NA,NA,NA,Latin,en,anystyle
348_a3,348,3,"transparent or not. Within this arena, text encoding is either too factual, too empirical, to be useful to the humanistic enterprise—or else, in trying to be otherwise, it trespasses on a domain in which it is seen as an alien force. On the one hand, if markup is merely a means of representing true or at least widely accepted facts about a text, then does it not also have the effect of stiffening the text, making it less supple, reducing its fruitful human indeterminacy, limiting the reader's interaction with the text?",NA,NA,NA,NA,Latin,en,anystyle
348_a4,348,4,"And on the other hand, if markup is more than this—if it is a means of intervening in the text, mapping or mimicking scholarly subjectivity and experimentation—then does it not usurp or destabilize the role of the scholar? If it mimics our own interventions, it does so with a difference: that is",NA,NA,NA,NA,Latin,en,anystyle
348_a5,348,5,"This conflicted relationship with digital tools for textual representation stems from the historical roots of modern literary publication and textual editing. In this model of textual production, the text has immanence: its meaning is the quintessence of human insight and wisdom, the distillation of what makes humanity rich and deep and complex and morally sound. This is most obvious in the case of the poet, but inasmuch as the scholarly editor is editing cultural texts which carry this weight, the editor is the modern surrogate of the poet, bringing the poet’s wisdom back to vibrancy by restoring and representing his or her text. The scholarly editor must have a wisdom and sensibility which matches that of the poet in order to be able to fulfill this role—must have insight into the poet’s likely meaning, habitual language use, taste, and so forth",NA,NA,NA,chapter,Latin,en,anystyle
348_a6,348,6,While text markup has been widely accepted as an editorial tool for the preparation of scholarly editions of many sorts,NA,NA,NA,NA,Latin,en,anystyle
348_a7,348,7,"Walt Whitman Archives, the Canterbury Tales Project, the Piers Plowman Archive, and many others), its domain is assumed to be limited to expressing the text's determinacies, not its indeterminacies. Indeed, this suitability for expressing textual structure and behavior in a consistent, rigorous way is taken as text encoding’s chief virtue, and the development of high-quality encoding schemes focuses on establishing methods that will minimize ambiguity and indeterminacy. This approach has brought text encoding methodology to a high degree of effectiveness in representing the kinds and aspects of texts that lend themselves to this treatment",NA,NA,NA,NA,Latin,en,anystyle
348_a8,348,8,But what of the aspects of textual communication which on the contrary require an attentiveness to ambiguity itself? And what if instead of simply representing the text we aim to provide a scaffolding or additional musculature that can support our readerly and critical activities—a text encoding which more actively intervenes in the textual economy being established? Consider the following brief list of concepts and domains in which ambiguity or multiplicity of meaning could play a central role in our textual work,NA,NA,NA,NA,Latin,en,anystyle
348_a9,348,9,"• the representation of scholarly disagreement within a given edition (whether at the level of the interpretation of a particular mark on the page, or the ordering of sections, or the interpretation of the meaning of a given passage",NA,NA,NA,NA,Latin,en,anystyle
348_a10,348,10,• the representation of aspects of the text for which a controlled (i.e. disambiguated) vocabulary cannot provide sufficient nuance: aspects which,NA,NA,NA,chapter,Latin,en,anystyle
348_a11,348,11,"• the representation of textual variation in a way which does not merely capture the existing readings, but also the suspension of their resolution, the ways in which they do not simply displace one another but coexist",NA,NA,NA,NA,Latin,en,anystyle
348_a12,348,12,"If text markup seems to operate at a different level of abstraction from these domains, it is because of what we assume about its empirical commitments, its alliances with determinacy and fixity, with ascertaining and clarifying meaning rather than allowing it to hover before the reader. Our current understanding of text encoding is as a powerful tool for presenting alternatives, for allowing us to choose, rather than for helping us to probe a more complex domain in a more hesitant or searching manner",NA,NA,NA,NA,Latin,en,anystyle
348_a13,348,13,Can text markup (and its companion tools for digital representation of text) be used to redirect our attention and ambition towards a subtler textual economy? And would such a tool find acceptance within the scholarly community? This paper will consider the possibilities within the current environment of humanistic scholarly communication,NA,NA,NA,NA,Latin,en,anystyle
