citing_country,AT,AU,BR,CA,CH,CN,DE,ES,FI,FR,GB,IL,IT,NG,NO,PT,RU,SE,US,AE,AF,AR,BD,BE,BH,CL,CO,CZ,DK,EG,GR,HK,HU,ID,IE,IN,IS,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NZ,PH,PK,PL,PS,QA,RO,SA,SG,TJ,TN,TW,ZA,CR,EC,EE,KE,RS,SD,TR,AM,BA,BG,BN,BO,BY,CU,CY,DZ,GH,HR,IR,LI,LT,LV,MA,MC,ML,MN,MU,OM,PE,SI,SK,UA,VE,VN,KH,KW,LK,PF,TH,UY,UZ,ZW,AZ,GE,BI,MK,MM,NP,AO,IQ,SS,SO,GP,GY,KZ,MD,ME,PR,SY,TZ,DO,FJ,GU,CM,AL,BJ,CW,ET,FK,GT,KY,MZ,NA,PG,RW,TT,VA,XK,YE,GL,BS,BW,KG,MQ,UG,CG,SL,PA,SM,VI,JM,MF,MV,RE,SN,TG,BB,GM,LR,MR,ZM,JE,MS,VU,VG,KP,SV,HN,BM,LY,MW,CD,GA,LS,NI
GH,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,42,87,33,99,54,85,179,114,29,126,409,78,238,4,18,40,6,32,693,3,0,2,0,53,0,5,1,15,29,14,460,15,4,1,27,32,1,1,31,33,1,7,0,2,13,10,94,18,1,3,15,1,1,6,12,16,0,2,24,14,0,1,1,1,1,0,18,0,2,6,3,1,1,1,24,0,1,2,11,0,1,1,1,0,0,1,3,0,2,5,1,0,0,2,0,1,2,0,5,2,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,13,44,6,53,20,253,68,37,15,30,209,22,44,0,7,5,2,21,339,2,0,1,0,17,0,0,2,11,9,4,7,113,4,6,14,11,2,1,28,18,1,1,6,1,6,7,25,8,0,3,11,0,0,2,6,12,0,0,31,15,0,1,1,0,4,0,11,0,8,2,0,0,1,0,6,0,3,1,3,0,0,0,1,0,0,0,0,0,0,1,1,7,0,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR,7,14,11,16,8,31,20,17,10,20,83,4,20,4,3,0,0,10,86,0,0,1,2,8,0,1,0,5,7,1,8,6,1,0,10,3,1,0,4,0,0,0,0,12,3,7,16,11,0,1,0,0,0,3,2,3,0,0,0,5,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,2,0,39,0,0,0,3,0,0,0,1,0,0,0,21,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,1,10,2,12,4,3,22,7,8,2,47,3,14,0,2,1,2,12,133,2,0,0,0,5,0,2,0,1,12,1,1,0,19,0,8,1,1,0,3,4,0,0,0,0,0,0,20,3,1,0,5,0,1,0,0,0,0,1,0,1,0,0,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,6,49,4,25,6,57,39,19,4,18,77,6,26,2,11,6,3,8,194,11,0,0,4,8,1,2,3,3,8,3,5,13,1,138,8,30,0,6,13,16,1,0,3,0,3,22,17,3,0,4,1,0,5,2,9,7,0,2,18,5,0,3,2,2,0,0,10,0,1,0,2,0,0,0,0,0,4,0,6,1,1,1,1,0,0,0,0,3,3,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,32,58,12,61,34,41,141,46,14,66,290,18,78,1,15,8,9,22,417,1,0,1,0,32,0,1,2,5,13,0,22,8,1,2,135,5,1,1,14,7,0,2,3,0,4,2,85,7,1,0,11,1,3,0,0,7,1,0,11,6,0,0,1,0,1,0,9,0,0,4,0,0,0,0,7,0,0,1,3,1,1,1,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IL,21,40,12,88,48,63,162,31,15,94,223,234,83,1,9,8,13,15,572,5,0,1,1,34,0,2,0,23,11,3,53,13,3,0,24,17,4,0,31,23,0,3,2,2,3,3,53,5,0,0,4,0,2,7,2,16,0,1,5,2,0,0,2,0,0,0,7,0,0,2,0,0,0,0,10,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IN,14,53,11,52,24,100,91,50,13,64,173,16,67,8,13,6,9,15,435,7,0,2,7,16,0,3,1,8,2,7,42,14,6,7,17,168,0,5,17,14,4,1,0,0,4,14,47,7,0,13,13,2,5,3,14,14,1,5,26,9,1,2,1,2,0,0,18,0,1,1,1,0,0,0,10,2,1,1,15,0,2,0,3,0,0,0,0,1,1,4,2,1,0,2,0,0,2,0,5,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IQ,1,2,1,3,1,4,6,3,2,1,10,2,4,1,0,1,0,0,19,4,0,0,2,2,2,0,0,0,1,0,3,1,0,10,0,5,0,3,0,2,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,1,21,7,33,9,75,45,24,10,24,95,9,37,2,2,22,12,13,239,10,0,2,1,7,1,3,1,7,4,2,11,4,4,6,6,15,0,2,14,13,1,0,0,0,11,6,18,6,0,11,9,0,1,2,8,19,0,0,9,4,0,0,0,0,1,0,15,0,3,0,0,0,0,0,2,0,1,1,257,0,0,0,2,0,0,0,0,1,0,4,1,0,0,8,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,0,2,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,9,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,117,239,65,302,199,254,671,360,71,444,1108,122,1571,1,61,72,41,137,2187,8,0,13,2,167,0,16,7,31,70,14,222,59,29,6,116,56,4,4,118,83,3,9,9,2,26,23,361,36,6,10,45,1,16,20,12,53,1,7,38,30,0,7,10,2,8,0,40,0,4,12,2,0,0,1,34,4,1,16,9,3,6,1,4,1,0,1,0,0,5,15,5,7,0,8,1,3,0,1,6,1,3,1,0,1,6,1,2,0,0,3,3,2,0,0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JO,0,5,1,7,2,10,6,5,0,2,30,1,5,0,1,2,1,2,41,1,0,0,1,1,1,1,0,1,1,1,5,1,0,1,0,1,0,20,0,5,0,0,0,0,0,2,2,5,0,1,2,0,0,0,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,18,44,11,69,43,125,120,46,36,40,191,19,48,1,18,7,4,14,559,2,0,1,3,23,0,2,5,9,7,3,5,14,7,5,19,17,0,2,195,18,0,1,0,0,3,6,62,21,0,4,9,0,2,1,4,12,0,3,24,6,0,2,2,1,1,1,7,0,2,4,0,0,1,1,0,0,0,1,7,0,0,2,1,1,1,2,0,0,1,2,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KE,0,0,0,1,0,2,0,0,1,0,5,0,1,0,1,0,0,4,15,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,20,49,11,62,21,92,120,51,21,38,148,15,58,0,15,14,6,12,398,3,0,2,0,11,0,5,0,5,14,3,22,18,3,5,15,14,0,3,37,108,1,3,0,0,3,8,43,9,1,3,8,0,2,1,5,23,0,1,9,5,0,0,0,0,0,0,9,0,0,0,9,0,0,1,0,1,0,0,27,0,1,0,1,0,0,0,0,1,2,1,0,1,1,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW,0,1,0,2,0,1,3,2,1,1,2,0,3,0,0,0,0,0,16,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KZ,3,7,0,7,1,6,6,2,1,2,22,3,3,0,3,1,1,1,30,0,0,0,1,3,0,2,1,1,1,3,3,2,1,6,7,7,0,0,2,1,0,0,1,1,0,1,7,0,0,2,1,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB,0,5,2,12,2,15,4,12,0,10,16,0,30,0,2,2,2,1,8,0,0,1,1,2,0,2,0,0,0,0,8,4,0,0,1,2,0,0,1,4,0,0,0,1,0,0,5,0,0,2,2,0,1,1,1,2,0,1,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK,0,0,1,2,1,1,4,2,5,3,6,0,1,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,1,6,1,7,3,23,9,5,4,6,28,2,5,0,2,2,2,6,50,0,0,1,0,5,0,0,0,0,2,0,0,2,2,1,3,0,0,1,0,0,0,1,0,0,0,1,8,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,29,29,8,56,25,19,120,34,28,82,194,20,43,0,11,4,2,26,346,0,0,3,0,15,0,0,3,4,28,1,15,6,3,1,18,5,0,1,15,3,1,56,0,1,1,1,84,10,2,1,8,0,0,1,2,3,0,0,3,6,0,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,2,3,0,8,5,3,10,5,3,5,14,2,3,0,4,0,1,4,29,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,2,0,1,4,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,2,6,1,15,8,6,8,7,1,15,13,2,8,1,0,2,2,0,49,2,0,1,0,2,0,0,0,0,4,1,3,3,0,0,2,5,0,5,1,2,2,0,0,0,0,1,5,0,0,4,1,0,0,4,4,5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,1,1,0,3,1,3,4,0,0,2,5,1,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK,0,1,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,0,0,1,6,6,3,5,0,1,8,7,0,2,0,1,0,1,0,12,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,1,1,0,6,1,9,8,4,2,5,11,2,6,0,0,0,0,1,24,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,3,8,1,9,0,25,4,2,1,2,30,1,8,2,5,1,3,2,38,0,0,0,0,4,0,0,1,1,4,1,1,3,0,0,5,3,0,0,0,1,0,0,4,1,2,2,7,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,2,2,0,0,0,0,1,5,1,0,13,0,8,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,9,9,12,25,22,21,50,33,7,21,81,3,18,0,6,18,0,11,173,0,0,6,0,16,0,5,3,1,7,0,7,2,1,4,6,3,0,0,7,2,0,0,0,0,31,1,19,3,0,1,3,0,0,1,1,5,0,0,2,3,2,0,1,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MY,19,37,4,20,10,111,31,24,9,23,99,7,50,3,10,10,6,7,205,1,0,0,5,6,0,2,0,4,8,4,26,13,2,14,10,11,0,1,17,15,1,1,2,1,3,53,18,8,2,5,3,0,1,3,9,10,0,0,16,1,0,2,2,2,2,0,14,0,0,1,1,0,0,0,3,3,1,3,36,0,2,0,1,0,0,1,0,1,1,3,1,2,0,7,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,0,11,2,12,1,20,12,5,2,4,39,1,7,22,3,2,1,6,100,3,0,1,0,4,1,0,0,2,2,0,3,1,0,0,1,18,0,0,1,6,0,0,0,1,1,3,11,2,0,1,2,0,3,1,7,0,0,0,3,8,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,94,188,51,280,142,128,499,163,94,246,919,40,196,3,53,22,33,97,1818,5,0,5,5,143,2,12,2,30,95,4,67,27,7,34,82,21,4,4,58,28,0,20,2,3,13,19,817,21,1,4,30,0,5,3,6,38,0,3,19,35,0,6,7,1,2,0,23,0,2,8,1,0,1,0,7,1,1,9,20,0,5,2,3,0,0,2,0,2,3,9,7,4,3,0,0,0,2,1,3,0,0,0,0,0,3,0,1,0,0,2,4,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
