citing_country,AE,AF,AR,AT,AU,BD,BE,BG,BH,BI,BO,BR,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KR,KZ,LB,LU,LV,MA,MM,MO,MT,MX,MY,NA,NE,NG,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RU,SA,SE,SG,SI,SK,SV,TJ,TN,TR,TW,UA,UG,US,UZ,ZA,ZM,AM,CR,CU,GH,PE,TT,UY,BA,BY,ET,GM,GN,LT,MC,MG,ML,MN,MW,NC,NP,OM,PG,RS,SL,SS,TH,VN,AG,BW,CM,DO,KG,KH,KW,LC,LK,MK,MU,RW,SN,SY,TZ,YE,ZW,AZ,GE,JM,LS,BN,HN,LI,PR,VE,AL,BJ,MV,PA,RE,SO,BB,BM,FJ,GP,MD,ME,VA,GU,FK,KY,MZ,SZ,XK,BS,NI,BF,GT,CG,CI,SM,TD,VI,PF,TG,GA,GF,GL,MR,MS,VG,SD,LY,KP,GI,MQ,CD,KN,ST,BT,DM
FI,8,0,2,54,151,3,52,4,2,3,0,34,173,92,5,109,1,4,40,371,56,1,4,9,5,106,525,140,678,41,22,6,22,3,62,57,24,0,4,7,134,4,74,0,33,0,1,5,5,1,0,2,0,12,7,1,0,1,258,55,39,0,9,41,0,25,0,10,3,28,9,133,29,17,2,0,0,0,12,15,4,0,1501,0,14,1,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,4,2,2,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,25,0,11,125,228,5,163,15,3,7,1,55,406,279,17,280,7,10,110,787,86,16,1,20,9,356,100,1568,1190,116,56,5,32,7,90,167,87,10,24,7,505,5,176,6,65,0,5,13,4,11,2,4,5,37,18,0,0,7,375,69,36,7,13,49,1,57,0,17,29,47,18,162,77,29,5,0,0,17,34,42,5,1,3515,0,17,1,1,1,4,1,2,1,1,3,3,1,0,0,9,0,0,4,3,0,1,4,0,0,5,0,13,10,6,0,1,1,0,0,1,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,68,2,23,279,1097,12,406,34,4,11,5,240,1542,612,57,879,21,41,227,2272,389,15,8,61,46,819,344,993,8015,323,218,35,70,30,438,524,314,4,45,23,1242,29,574,9,204,1,12,42,13,20,7,15,20,118,77,4,2,16,1456,270,241,9,60,156,2,176,1,46,41,130,58,587,276,56,30,2,0,3,97,128,27,8,12359,0,117,3,1,3,8,19,13,3,6,15,7,4,0,1,23,0,0,3,6,0,0,3,4,1,23,1,49,55,22,0,3,0,0,0,2,6,0,15,8,3,1,2,0,3,6,0,1,0,2,0,5,0,3,15,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0,0,1,0,0,2,2,0,0,1,0,0,2,0,0,2,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,1,0,0,1,24,1,1,0,0,0,0,3,17,2,2,13,1,1,0,14,4,0,0,1,3,7,2,0,56,4,5,2,1,2,0,4,16,0,5,1,3,2,3,3,10,0,0,0,1,0,0,0,0,2,13,0,0,29,9,5,6,3,14,1,0,1,0,1,0,3,6,5,7,2,0,0,0,1,2,6,0,1,136,0,32,1,0,0,0,46,1,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GR,6,0,5,67,120,2,80,9,0,2,0,42,161,93,9,121,2,32,41,348,45,5,3,4,16,171,53,173,624,599,26,1,8,1,36,101,55,3,14,1,358,3,46,0,42,0,2,7,3,1,1,0,1,8,15,0,0,3,152,29,27,2,5,28,0,49,0,5,9,15,15,59,23,15,5,0,1,2,23,32,0,0,1343,0,13,0,0,0,1,1,1,0,4,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,4,0,1,4,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,2,0,0,0,3,0,0,0,0,0,5,3,3,9,2,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,7,1,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,3,1,0,22,69,1,27,3,1,0,1,10,126,54,2,297,3,4,26,161,22,0,2,4,5,62,30,64,331,15,150,3,11,5,24,53,20,0,5,1,90,2,54,1,22,1,2,1,2,0,0,6,2,6,6,0,0,1,82,24,12,0,4,16,1,8,1,13,3,10,2,36,23,4,4,1,0,1,15,42,7,0,834,0,19,0,0,0,0,5,1,2,0,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,3,7,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HR,3,0,1,18,27,2,16,0,1,0,0,13,33,14,2,33,1,3,21,80,10,0,1,1,2,34,12,28,130,12,6,36,10,0,17,10,16,0,2,3,55,1,19,0,3,0,1,5,0,1,1,0,0,5,9,0,0,0,44,7,6,0,8,4,0,0,0,2,12,8,6,24,8,9,1,0,0,2,5,1,0,0,260,1,4,0,0,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,3,0,2,13,44,4,20,2,0,0,1,6,49,16,3,29,2,3,33,75,15,0,0,5,2,41,18,18,172,10,8,2,73,4,16,17,17,1,3,3,42,0,14,9,8,0,0,1,2,1,0,1,4,3,4,0,0,8,69,16,10,6,7,18,0,3,0,2,2,6,2,26,6,11,3,0,0,1,6,5,1,1,396,0,11,0,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,1,0,0,4,1,3,3,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,7,0,1,5,59,3,6,1,1,0,0,11,33,15,3,78,2,1,5,50,8,0,4,2,3,30,10,23,95,7,16,0,1,99,8,14,27,3,9,1,47,2,13,5,23,0,3,1,2,1,0,3,0,4,38,1,0,17,32,11,7,1,11,2,0,18,0,7,5,3,10,14,11,1,0,0,0,2,12,24,0,2,254,0,14,2,0,0,1,3,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IE,14,0,3,69,133,5,56,5,0,0,1,30,175,77,5,102,4,7,38,328,36,0,0,7,4,106,50,131,708,41,28,1,5,4,302,48,59,1,9,2,198,5,49,0,17,1,4,5,3,0,0,1,1,8,16,0,0,0,209,41,39,2,6,20,2,30,0,4,10,25,12,76,19,13,1,0,1,0,17,15,0,1,1423,0,14,0,0,1,0,9,2,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,2,0,2,0,1,2,2,0,1,1,0,0,1,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,8,0,10,55,116,3,58,2,0,0,0,28,202,97,5,118,1,11,51,343,34,1,2,8,3,87,35,149,591,62,24,4,13,0,33,512,32,0,4,3,174,5,80,0,41,0,1,4,1,3,2,2,5,14,5,0,0,1,186,26,27,0,7,15,0,24,0,8,10,18,11,82,34,7,7,0,0,1,19,15,0,0,1470,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,2,0,7,6,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
IN,18,0,10,67,189,12,61,4,2,1,0,45,266,97,14,408,4,13,70,391,47,11,4,8,16,177,60,194,734,78,62,12,23,28,73,93,724,3,42,2,195,17,112,4,77,2,4,5,2,3,2,5,2,26,69,1,1,40,174,28,41,3,54,33,1,36,1,16,15,32,33,87,94,9,6,0,0,12,54,101,5,1,2198,0,45,0,0,1,3,7,4,3,0,2,0,2,0,0,7,0,0,0,1,2,0,5,6,1,9,0,3,21,15,1,0,0,0,1,0,5,0,10,1,0,0,0,0,3,2,2,4,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IQ,3,0,0,0,5,0,1,0,2,0,0,2,9,1,0,8,0,0,5,6,2,0,0,0,0,1,1,2,13,2,1,0,0,2,0,2,4,6,9,0,7,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,4,0,0,1,1,3,0,0,0,0,2,0,2,0,0,32,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,22,0,3,20,43,3,17,0,1,0,0,13,73,26,5,140,4,4,24,137,5,1,0,0,7,89,22,52,193,25,17,1,5,10,23,32,49,11,322,0,76,4,31,0,28,2,2,0,0,2,0,1,0,16,19,0,0,9,55,11,19,1,19,13,1,27,0,7,6,7,15,26,28,5,2,0,0,1,23,17,1,2,661,0,10,0,1,0,1,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,8,0,1,4,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IS,0,0,0,0,1,0,2,1,0,0,0,1,2,2,0,1,0,0,19,10,3,0,0,1,0,3,0,4,11,0,0,0,1,0,0,3,0,0,0,25,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,10,1,1,0,1,6,0,0,0,0,0,2,0,5,1,5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,51,0,29,264,614,13,373,21,2,9,1,159,932,517,40,636,18,75,149,1620,199,13,13,40,37,825,195,869,2938,383,165,23,79,22,255,339,168,8,39,12,3665,12,310,8,166,3,14,22,6,21,5,13,6,59,58,0,0,7,901,173,148,9,34,129,1,134,0,32,43,114,47,386,134,37,23,0,1,13,88,81,10,6,6536,5,74,3,2,0,3,6,9,1,3,10,4,3,0,0,18,0,0,0,4,0,1,6,7,0,22,0,12,21,23,0,1,1,3,0,1,6,0,7,6,3,0,0,0,4,1,2,1,1,1,0,7,0,3,7,1,0,3,0,1,0,2,0,2,1,0,2,1,4,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
JO,1,0,0,3,13,0,1,0,0,0,0,1,3,3,2,8,0,1,0,2,2,0,0,0,0,5,1,5,48,7,1,1,0,0,1,8,2,0,1,2,10,25,2,0,4,0,1,0,0,1,0,1,0,1,1,0,0,4,6,1,3,0,1,2,0,3,0,1,0,2,3,4,1,0,0,0,0,0,0,0,0,0,94,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,10,0,5,60,160,9,75,8,0,0,0,29,256,106,7,317,10,7,68,495,33,0,6,3,13,114,76,165,863,30,60,13,17,18,56,93,60,2,19,4,188,3,949,4,66,0,1,8,2,4,4,6,4,13,12,0,0,2,267,44,47,3,18,35,0,55,0,15,6,30,13,85,74,12,3,0,0,8,12,58,2,0,2666,1,13,0,0,0,1,1,3,0,0,2,1,1,0,0,2,1,0,0,1,0,0,4,1,0,3,0,11,8,24,0,0,1,0,0,0,3,0,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,0,0,0,2,16,6,9,0,0,0,0,1,6,1,0,14,0,1,3,11,2,0,0,0,1,7,4,1,42,3,3,2,3,0,4,2,7,1,4,0,4,1,1,17,2,0,0,0,0,2,0,0,0,1,3,0,0,6,5,4,7,0,5,1,0,0,0,2,2,2,0,7,1,1,1,0,0,1,1,1,0,3,74,0,23,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KH,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,6,0,0,0,5,1,0,0,0,0,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,12,0,3,23,88,2,16,2,0,0,2,20,110,44,4,148,1,0,17,171,27,1,0,0,2,80,32,58,290,20,27,1,4,11,30,24,46,0,32,0,96,2,64,2,120,0,2,2,0,1,0,1,1,7,10,1,1,8,67,18,10,2,2,14,0,19,0,9,1,10,8,39,37,1,1,0,0,2,14,20,1,2,760,0,11,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,3,0,2,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW,3,0,0,0,9,3,1,0,1,0,0,0,2,0,0,2,1,1,2,4,0,0,0,0,2,2,0,0,7,1,0,2,1,0,0,0,4,1,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,3,0,2,0,4,0,0,4,0,2,0,0,1,0,0,2,0,0,0,0,2,1,0,0,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,1,2,0,0,0,0,0,0,0,2,2,0,9,0,0,2,4,1,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KZ,5,1,0,6,24,3,5,1,0,0,0,2,19,7,2,25,2,0,2,18,5,0,1,2,3,7,3,9,52,5,7,3,1,9,5,4,18,0,0,0,10,1,7,0,5,3,0,1,0,0,0,3,1,1,2,0,0,0,13,5,3,2,4,4,0,3,0,3,1,2,5,7,5,0,0,0,1,1,0,1,5,0,110,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LB,0,0,1,0,3,0,1,1,0,0,0,0,12,2,1,5,0,1,0,4,0,0,0,1,0,5,0,6,11,4,2,0,0,0,1,2,0,0,0,0,18,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,2,0,1,0,0,1,1,0,2,2,1,0,0,0,1,1,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK,0,0,0,0,7,0,4,0,0,0,0,1,8,1,0,5,0,0,2,11,3,0,0,0,1,15,6,3,25,1,1,0,0,0,2,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,1,0,0,0,0,1,3,0,2,2,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,1,0,1,3,23,0,6,0,0,0,0,1,20,9,0,25,0,0,10,28,4,0,0,1,1,10,5,6,98,7,2,2,1,1,8,9,1,0,0,2,15,0,2,1,1,0,0,2,1,0,0,0,1,2,0,0,0,0,51,5,4,0,1,8,0,1,0,1,0,2,0,4,3,3,1,0,0,0,1,2,0,0,198,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,1,0,2,20,17,0,16,0,0,0,0,9,44,24,0,27,0,1,5,105,20,0,0,1,1,27,25,58,166,16,4,0,4,1,16,17,4,0,0,0,60,0,16,0,4,0,1,39,0,1,0,0,1,3,1,0,0,0,74,7,6,0,1,7,0,6,0,1,0,3,1,14,1,3,0,0,0,0,0,1,0,0,305,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LV,0,0,0,1,6,0,2,3,0,0,0,3,10,13,0,4,0,0,23,32,11,0,0,1,1,14,7,10,36,4,0,0,1,0,1,2,0,0,0,3,10,0,3,2,1,0,0,1,6,0,0,0,1,1,0,0,0,0,17,6,0,0,2,6,0,3,0,0,0,3,0,56,1,5,0,0,0,0,3,1,0,0,92,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,6,0,1,9,6,1,3,0,1,0,0,1,20,11,0,9,0,0,1,14,5,3,0,0,4,15,3,25,29,4,4,1,1,0,2,2,7,1,0,0,12,7,3,0,3,0,5,0,0,13,0,0,0,5,1,0,0,1,7,1,1,0,4,1,0,4,0,6,6,0,5,1,8,0,0,0,0,3,2,5,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
