citing_country,AE,AF,AR,AT,AU,BD,BE,BH,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,QA,RO,RU,SA,SE,SG,TJ,TN,TW,US,ZA,CR,EE,KE,BA,BY,CU,CY,DZ,EC,GH,HR,IR,LT,LV,MA,MC,ML,MN,PE,SI,SK,TR,UA,BG,KH,KW,LK,OM,RS,UY,UZ,VN,ZW,AZ,BN,MK,NP,NG,TH,BO,VE,SS,SO,GP,IQ,MD,ME,PR,TZ,BI,DO,GU,SY,CM,ET,FJ,FK,GE,KY,KZ,LI,MZ,NA,PG,RW,TT,XK,YE,MU,BS,AL,AM,KG,MM,UG,CG,SL,SM,VI,PF,TG,GT,JM,MR,PA,ZM,VA,MS,LY,VG,KP,PY,MQ,SD,SN,RE,BW,BM,BB,GA
ID,6,0,0,2,34,1,4,1,7,16,4,1,49,0,2,27,6,3,14,4,9,56,1,11,0,52,4,5,10,0,17,2,11,15,1,1,2,0,2,17,17,5,3,0,5,0,0,11,4,3,0,7,5,4,0,2,13,129,4,0,1,0,1,0,0,0,0,2,3,0,7,1,2,1,0,0,0,1,1,0,5,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IE,1,0,1,21,33,0,21,0,9,52,20,0,30,2,3,82,7,0,33,9,45,183,17,5,0,1,79,14,4,1,52,1,10,5,0,2,0,0,3,2,66,8,4,1,0,11,1,6,0,0,7,0,15,5,1,0,8,311,2,0,1,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,1,1,2,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,3,0,1,19,29,1,27,0,11,78,39,2,53,0,19,131,9,2,30,11,77,192,48,12,2,0,19,199,13,0,73,0,31,22,0,3,2,2,3,3,45,4,3,0,0,2,0,6,2,7,7,1,11,15,0,1,5,462,0,0,1,0,0,0,0,9,0,0,0,2,1,1,1,0,0,0,2,0,0,1,5,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IN,4,0,2,13,31,2,19,0,9,37,20,2,58,2,8,63,2,4,48,6,53,129,33,10,6,6,13,13,95,0,55,2,17,11,0,1,0,0,3,11,34,9,5,0,8,8,1,4,3,7,4,4,12,10,0,6,24,322,5,1,0,2,1,0,0,6,1,1,1,1,5,1,0,0,0,0,0,0,2,2,14,1,1,0,0,0,0,0,0,0,3,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
IQ,3,0,0,0,1,0,1,2,1,3,1,0,1,0,0,4,1,0,0,1,0,9,2,0,0,1,0,2,4,0,3,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,10,0,2,1,19,1,7,1,6,30,9,3,74,1,7,45,3,2,23,10,23,87,10,3,4,6,5,9,14,0,37,2,14,13,0,0,0,0,11,6,17,1,8,0,10,6,0,23,1,2,5,8,13,19,0,0,10,228,3,0,0,0,3,0,0,2,0,0,1,0,259,0,0,2,0,0,0,0,3,1,16,0,0,0,1,0,1,1,0,0,8,1,0,0,0,0,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,9,0,11,92,187,2,146,0,57,267,181,14,213,6,25,530,55,13,311,54,366,927,202,49,27,2,92,105,38,3,1290,3,103,76,2,7,7,1,19,22,285,46,32,5,13,38,1,55,14,17,34,8,110,42,0,6,28,1789,24,0,8,1,4,0,0,33,4,4,1,11,8,5,0,4,0,0,1,4,10,5,31,5,7,1,3,1,0,10,1,2,7,1,0,2,1,0,0,4,0,0,3,2,0,3,1,0,0,0,6,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
JO,1,0,0,0,3,0,0,0,1,3,1,1,4,0,0,0,0,0,3,0,2,22,3,1,0,0,0,1,1,0,3,15,0,2,0,0,0,0,0,0,2,1,3,0,0,2,0,1,0,0,0,2,1,1,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,2,0,1,13,32,3,16,0,8,42,27,2,92,4,9,78,5,2,27,22,24,135,4,11,4,4,15,15,17,0,35,1,97,10,0,1,0,0,1,5,43,9,13,0,4,8,0,3,2,1,2,4,9,8,0,3,15,361,4,0,1,0,2,1,1,0,0,2,0,1,5,0,0,1,1,0,1,1,0,0,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,2,0,2,15,46,0,11,0,9,57,17,3,82,0,4,97,12,2,48,16,32,133,18,15,3,5,14,13,12,0,54,2,28,92,1,2,0,0,3,8,38,12,7,1,1,8,0,14,2,1,4,5,9,20,0,1,8,334,5,0,0,0,0,0,0,0,1,0,0,0,26,1,0,1,0,0,0,2,1,0,7,1,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KZ,0,0,0,3,4,1,3,0,0,7,1,2,5,1,1,4,1,2,1,1,2,21,3,2,1,6,2,3,4,0,1,0,2,1,0,0,1,1,0,1,6,2,0,0,1,1,0,1,2,0,1,4,1,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB,0,0,1,0,3,0,1,0,0,12,2,1,5,0,0,3,0,0,5,0,6,10,4,2,0,0,1,0,0,0,17,0,1,1,0,0,0,1,0,0,3,1,0,0,1,2,0,1,0,1,1,0,2,2,0,1,0,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,4,2,1,2,5,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,0,0,0,0,2,0,3,0,0,3,1,0,22,0,0,6,0,0,3,1,0,11,0,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,4,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,0,0,2,19,15,0,12,0,6,33,19,0,14,0,4,72,20,1,18,21,45,137,12,4,3,1,15,14,2,0,32,0,9,2,1,30,0,1,1,1,55,7,5,0,1,4,0,3,0,0,2,0,12,0,0,0,0,215,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LV,0,0,0,1,2,0,0,0,0,4,2,0,1,0,1,4,3,1,2,2,5,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,2,0,1,1,4,0,2,0,1,12,8,0,5,0,0,7,4,1,5,1,12,11,3,3,0,0,0,2,4,0,5,5,1,2,2,0,0,0,0,0,3,0,0,0,4,1,0,2,0,4,0,4,0,5,0,1,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ME,0,0,0,1,0,0,0,0,0,3,0,0,2,0,2,4,0,0,0,0,2,4,3,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,0,0,0,0,0,0,2,0,0,3,3,0,3,0,1,5,0,0,0,0,7,6,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,0,0,1,1,0,4,0,0,6,0,0,8,0,0,8,2,0,4,2,5,10,1,0,0,0,2,2,1,0,4,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,0,0,0,3,7,0,4,0,1,8,0,0,16,0,0,4,3,1,2,1,1,25,1,3,0,0,5,1,1,0,4,0,0,1,0,0,1,1,1,1,6,4,1,0,3,1,0,1,1,0,3,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,1,0,2,7,1,1,0,0,5,0,0,2,0,0,1,3,0,7,0,0,14,3,0,0,0,0,1,1,0,6,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,0,0,2,8,7,0,10,0,5,20,18,1,17,2,1,40,6,0,16,7,19,67,5,1,1,3,4,3,1,0,18,0,7,1,0,1,0,0,18,1,16,3,3,0,0,1,0,4,0,1,0,1,10,5,0,0,0,154,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MY,0,0,0,17,30,2,6,0,4,19,8,2,100,1,4,30,5,4,16,7,24,77,23,13,1,5,11,7,6,0,43,1,12,10,2,1,2,1,2,31,18,6,7,2,5,4,0,8,1,3,5,8,5,10,0,0,10,164,0,0,2,0,0,0,1,0,3,1,1,2,34,2,0,1,0,0,0,0,1,0,9,0,1,0,1,0,0,1,0,0,6,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,7,1,0,1,0,3,17,1,1,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,0,5,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,4,0,5,56,125,0,94,2,35,179,111,5,98,1,23,326,61,2,119,61,167,614,52,20,8,6,56,35,18,1,148,3,46,26,0,17,1,3,10,9,501,32,13,1,3,18,0,16,2,2,16,5,69,24,0,3,12,1182,15,0,3,0,1,1,0,3,2,4,0,3,2,3,2,3,0,0,2,3,5,3,18,3,7,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,1,4,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NO,0,0,0,12,16,0,5,0,4,22,18,1,20,0,6,30,5,0,15,5,18,79,11,2,2,1,7,9,1,1,22,0,7,2,0,0,0,0,2,1,15,28,3,0,0,2,0,7,0,1,3,0,5,1,0,0,1,153,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,0,0,0,1,14,0,1,1,0,13,6,1,2,0,0,17,3,0,3,3,8,42,7,3,0,0,2,1,0,0,12,0,2,1,0,1,0,0,2,1,11,1,19,0,1,0,0,5,0,0,0,1,2,1,0,0,1,66,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,0,0,0,2,3,0,0,0,1,3,2,0,9,0,0,9,0,0,1,0,3,5,10,0,0,0,0,7,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,0,0,0,0,2,0,1,0,0,3,0,0,1,0,0,3,2,1,1,0,8,3,1,0,0,1,0,3,1,0,1,0,1,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,1,1,1,3,10,2,0,0,3,4,7,0,12,0,2,15,3,0,7,2,5,25,1,2,0,2,5,0,3,0,9,0,6,2,0,0,1,0,0,0,3,1,0,1,13,2,0,4,1,0,0,2,1,0,0,0,0,44,3,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,3,0,1,8,34,3,31,0,6,35,15,1,32,0,6,77,6,2,16,8,30,107,12,7,3,1,4,17,9,0,49,0,8,4,0,1,1,0,4,4,38,7,5,0,2,77,0,4,1,1,1,0,12,1,0,0,2,233,0,0,3,0,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,4,5,0,0,0,1,1,0,0,6,0,0,2,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
